{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}あ！{/n}…あれ！{/n},{Par}啊！{/n}…那个！{/n}
しっ{var4}{/n}{/n},嘘{var4}{/n}{/n}
{Par}セラ…{/n}元気でやってたかい？{/n},{Par}塞拉…{/n}过得还好吗？{/n}
え…ええ…。ちょっと{/n}つらいこともあるけど、{/n}ジムニーがいるから平気よ。,嗯…嗯…。虽然偶尔{/n}会遇到些难过的事、{/n}但有吉姆尼在就没问题。
ジムニーって…{/n}この怪物か…？{/n},吉姆尼是…{/n}指这头怪物吗…？{/n}
怪物っていうのは やめて！{/n}ジムニーは ジムニーよ！{/n},不准叫它怪物！{/n}吉姆尼就是吉姆尼！{/n}
ジムニーはね…{/n}海岸で死にそうに弱ってたのを{/n}あたしが ひろってきたの…。,吉姆尼它啊…{/n}是我在海边捡到的{/n}当时它都快死掉了…
素直で いいコなの！{/n}何も 悪いことなんか{/n}しないんだから！,是个很乖的好孩子！{/n}从来没做过任何坏事！{/n}
…すまん……。{/n}{/n},…抱歉……。{/n}{/n}
ううん…あのね…{/n}ごめんなさい…。{/n},唔嗯…那个…{/n}对不起…。{/n}
え？{/n}{/n},咦？{/n}{/n}
「シータ」のとき…{/n}カルタスが助けにいってくれて、{/n}ホントは うれしかった…。,在「希塔」的时候…{/n}卡尔达斯你来救我、{/n}其实我很开心的…
… … …。{/n}{/n},… … …。{/n}{/n}
でも…とっても悲しくて…{/n}おこって たたいちゃって…{/n}ごめんなさい！,但是…当时太伤心了…{/n}忍不住打了你…{/n}对不起！
ずっと 言いたかったの。{/n}{/n},这些话{/n}我一直想告诉你。{/n}
みんなに いじめられて…{/n}どんなに あの時の あたしが{/n}身勝手だったか わかったの。,被大家欺负后才明白…{/n}那时的我{/n}有多么任性。
ごめんなさい…{/n}それと…ありがとう…。{/n},对不起…{/n}还有…谢谢你…。{/n}
セラ…{/n}{/n},塞拉…{/n}{/n}
今はね、あたしには{/n}ジムニーがいる…{/n}もう さびしくは ないわ。,现在的我啊{/n}有吉姆尼陪着…{/n}已经不会寂寞了。
…えらいな。{/n}{/n},…真了不起啊。{/n}{/n}
{Par}おまえたち…！{/n}{/n},{Par}你们这群家伙…！{/n}{/n}
やば…！{/n}{/n},糟了…！{/n}{/n}
やるぞ！ 来い{var4}{/n}{/n},接招吧！放马过来{var4}{/n}{/n}
え…？{/n}{/n},诶…？{/n}{/n}
{Par}ふぅん…使えそうじゃないか？{/n}{/n},{Par}哼嗯…有两下子嘛？{/n}{/n}
{Par}きゃーーーーっ！,{Par}呀啊ーーーー！
ちょ、ちょっと…{/n}お、泳げませんわー！{/n},等、等等…{/n}人、人家不会游泳啊ー！{/n}
{Par}いいか…泳ぎってのは…{/n}こうやるんだ！{/n},{Par}看好了…游泳要…{/n}这样才行！{/n}
奥義！ 水流超波斬{var4}{/n}    （すいりゅうちょうはざん）{/n},奥义！{/n}水流超破斩{var4}{/n}
{Par}ひゃあー。{/n}{/n},{Par}呜哇ー。{/n}{/n}
そ、そうか！{/n}{/n},原、原来如此！{/n}{/n}
{Par}やっぱり ダメですわー！{/n}ブクブクブク…{/n},{Par}果然还是不行啦ー！{/n}咕嘟咕嘟咕嘟…{/n}
しょうがないな。そら！{/n}{/n},真拿你没办法。接住！{/n}{/n}
{Par}あ…浮きましたわ！{/n}{/n},{Par}啊…浮起来了！{/n}{/n}
よし…！{/n}行こう、みんな！{/n},好…！{/n}出发吧、大家！{/n}
