{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}そんな…！{/n}{/n},{Par}怎么会…！{/n}{/n}
しかし、ザガートも また{/n}エメロード姫を愛してしまった！{/n},但是、扎加特也同样{/n}爱上了艾美诺公主！{/n}
{var0}の召喚を予知した{/n}ザガートは、エメロード城を{/n}乗っ取り、姫をその奥に幽閉し…,预知到{var0}会被召唤{/n}扎加特夺取了艾美诺城{/n}并将公主幽禁在深处…
{var0}から{/n}エメロード姫を{/n}守ろうとしたのだ！,正是为了从{var0}手中{/n}守护艾美诺公主啊！{/n}
そんな{var4}{/n}じゃあ わたしたちの{/n}やってきたことは 何だったの{var3},那样的话{var4}{/n}我们至今所做的一切{/n}究竟算什么啊{var3}
愛しあう ふたりを{/n}引き裂くことですの？{/n},难道是要拆散{/n}相爱的两人吗？{/n}
確かに そうだ！{/n}しかし！ それが…それこそが{/n}エメロード姫の選択だったのだ！,确实如此！{/n}但是！ 那正是…那正是{/n}艾美诺公主自己的选择啊！
