{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}クレフの姿は もう見えない…。{/n}{/n},{Par}克雷夫的身影 已经看不见了…。{/n}{/n}
{Par}クレフの姿は もう現れないわ…。{/n}{/n},{Par}克雷夫的身影 不会再出现啦…。{/n}{/n}
{Par}クレフさんは もう お姿を{/n}見せてくださらないようですね…。,{Par}克雷夫先生似乎{/n}已经不会再现身了呢…。
{Par}「この先 宝物庫」と書いてある。{/n}{/n},{Par}写着「前方 宝物库」。{/n}{/n}
{Par}「この先 宝物庫」ですって。{/n}何があるのかしら？{/n},{Par}标着「前方 宝物库」呢。{/n}会有什么呢？{/n}
{Par}「この先 宝物庫」だそうですわ。{/n}{/n},{Par}「前方 宝物库」的标识呢。{/n}{/n}
{Par}「ホネは たおせる」{/n}  …と書いてあるよ。{/n},{Par}「骨头可以击倒」{/n}  …这么写着哦。{/n}
{Par}「ホネは たおせる」…ですって。{/n}{/n},{Par}「骨头可以击倒」…呢。{/n}{/n}
{Par}「ホネは たおせる」{/n}  …と書いてありますわ。{/n},{Par}「骨头可以击倒」{/n}  …如此写着呢。{/n}
{Par}たいまつがある。{/n}{/n},{Par}有火把。{/n}{/n}
{Par}たいまつらしきものがあるわ。{/n}なんで こんなところに…？{/n},{Par}像是火把的东西呢。{/n}为什么在这种地方…？{/n}
{Par}たいまつがありますわ。{/n}火は ついていませんわね。{/n},{Par}这里有火把。{/n}没有点燃呢。{/n}
