{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}あちちちちちち。,{Par}啊烫烫烫烫烫烫。
ここはアイアイの村だけど{/n},这里是艾艾村{/n}
あちちちちちち。,啊烫烫烫烫烫烫。
{Par}いくら火事といっても、{/n}こんなに速く 村中に{/n}炎が広がるなんて、おかしいわ！,{Par}就算说是火灾、{/n}但是瞬间就蔓延到整个村子{/n}这火势也太奇怪了！
{Par}あああああ、オレの家が！{/n}{/n},{Par}啊啊啊啊啊、我的家！{/n}{/n}
{Par}どうしたっていうの？{/n}この炎、水をかけても{/n}消えないのよ！,{Par}到底怎么回事啊？{/n}这火焰就算泼水{/n}也浇不灭！
自然に消えるのを{/n}待つしかないのかしら？{/n}おろおろおろおろ。,难道只能等它{/n}自然熄灭吗？{/n}不知所措不知所措。
{Par}村の南の家のご主人は 以前、{/n}どこぞのどうくつから めずらしい{/n}鏡を 掘り出してきたときくが…,{Par}听说村南的那户人家{/n}之前从某个洞窟里挖出了{/n}稀奇的镜子…
その鏡も燃えてしまうのかのぅ。{/n}{/n},那面镜子也要被烧毁了吗。{/n}{/n}
{Par}あわあわあわあわ。{/n}{/n},{Par}慌慌张张慌慌张张。{/n}{/n}
{Par}うぇーん、うぇーん。{/n}{/n},{Par}呜哇—、呜哇—。{/n}{/n}
{Par}うわー、燃えてるなぁ。{/n}{/n},{Par}哇—、烧得好旺啊。{/n}{/n}
ちょっと やけどに{/n}なっちゃおうかなぁ。{/n},要不要故意把{/n}自己烫伤试试看呢。{/n}
そうすれば となり村の治療師の{/n}アルティナちゃんが やさしく{/n}してくれるかもしれないものな。,这样的话隔壁村的治疗师{/n}阿尔缇娜小姐说不定{/n}会温柔地照顾我呢。
{Par}こ、この家の中に まだ息子が！{/n}{/n},{Par}我、我的儿子还在屋子里！{/n}{/n}
ああ！{/n}だれか息子を 助けて！{/n},啊啊！{/n}谁来救救我的儿子！{/n}
